"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:30:19+02:00";50.9375
"Probe-1";"2020-05-04T15:30:20+02:00";50.9375
"Probe-1";"2020-05-04T15:30:20+02:00";50.9375
"Probe-1";"2020-05-04T15:30:20+02:00";50.9375
"Probe-1";"2020-05-04T15:30:20+02:00";50.9375
"Probe-1";"2020-05-04T15:30:20+02:00";50.9375
"Probe-1";"2020-05-04T15:30:21+02:00";50.9375
"Probe-1";"2020-05-04T15:30:21+02:00";50.93125
"Probe-1";"2020-05-04T15:30:21+02:00";50.925
"Probe-1";"2020-05-04T15:30:21+02:00";50.91875
"Probe-1";"2020-05-04T15:30:21+02:00";50.9125
"Probe-1";"2020-05-04T15:30:22+02:00";50.90625
"Probe-1";"2020-05-04T15:30:22+02:00";50.9
"Probe-1";"2020-05-04T15:30:22+02:00";50.89375
"Probe-1";"2020-05-04T15:30:22+02:00";50.8875
"Probe-1";"2020-05-04T15:30:22+02:00";50.88125
"Probe-1";"2020-05-04T15:30:23+02:00";50.875
"Probe-1";"2020-05-04T15:30:23+02:00";50.875
"Probe-1";"2020-05-04T15:30:23+02:00";50.875
"Probe-1";"2020-05-04T15:30:23+02:00";50.875
"Probe-1";"2020-05-04T15:30:23+02:00";50.875
"Probe-1";"2020-05-04T15:30:24+02:00";50.875
"Probe-1";"2020-05-04T15:30:24+02:00";50.875
"Probe-1";"2020-05-04T15:30:24+02:00";50.875
"Probe-1";"2020-05-04T15:30:24+02:00";50.875
"Probe-1";"2020-05-04T15:30:24+02:00";50.875
"Probe-1";"2020-05-04T15:30:25+02:00";50.875
"Probe-1";"2020-05-04T15:30:25+02:00";50.88125
"Probe-1";"2020-05-04T15:30:25+02:00";50.8875
"Probe-1";"2020-05-04T15:30:25+02:00";50.89375
"Probe-1";"2020-05-04T15:30:25+02:00";50.9
"Probe-1";"2020-05-04T15:30:26+02:00";50.90625
"Probe-1";"2020-05-04T15:30:26+02:00";50.9125
"Probe-1";"2020-05-04T15:30:26+02:00";50.91875
"Probe-1";"2020-05-04T15:30:26+02:00";50.925
"Probe-1";"2020-05-04T15:30:26+02:00";50.93125
"Probe-1";"2020-05-04T15:30:27+02:00";50.9375
"Probe-1";"2020-05-04T15:30:27+02:00";50.95
"Probe-1";"2020-05-04T15:30:27+02:00";50.9625
"Probe-1";"2020-05-04T15:30:27+02:00";50.975
"Probe-1";"2020-05-04T15:30:27+02:00";50.9875
"Probe-1";"2020-05-04T15:30:28+02:00";51
"Probe-1";"2020-05-04T15:30:28+02:00";51.0125
"Probe-1";"2020-05-04T15:30:28+02:00";51.025
"Probe-1";"2020-05-04T15:30:28+02:00";51.0375
"Probe-1";"2020-05-04T15:30:28+02:00";51.05
"Probe-1";"2020-05-04T15:30:29+02:00";51.0625
"Probe-1";"2020-05-04T15:30:29+02:00";51.05
"Probe-1";"2020-05-04T15:30:29+02:00";51.0375
"Probe-1";"2020-05-04T15:30:29+02:00";51.025
"Probe-1";"2020-05-04T15:30:29+02:00";51.0125
"Probe-1";"2020-05-04T15:30:30+02:00";51
"Probe-1";"2020-05-04T15:30:30+02:00";50.9875
"Probe-1";"2020-05-04T15:30:30+02:00";50.975
"Probe-1";"2020-05-04T15:30:30+02:00";50.9625
"Probe-1";"2020-05-04T15:30:30+02:00";50.95
"Probe-1";"2020-05-04T15:30:31+02:00";50.9375
"Probe-1";"2020-05-04T15:30:31+02:00";50.6625
"Probe-1";"2020-05-04T15:30:31+02:00";50.3875
"Probe-1";"2020-05-04T15:30:31+02:00";50.1125
"Probe-1";"2020-05-04T15:30:31+02:00";49.8375
"Probe-1";"2020-05-04T15:30:32+02:00";49.5625
"Probe-1";"2020-05-04T15:30:32+02:00";49.2875
"Probe-1";"2020-05-04T15:30:32+02:00";49.0125
"Probe-1";"2020-05-04T15:30:32+02:00";48.7375
"Probe-1";"2020-05-04T15:30:32+02:00";48.4625
"Probe-1";"2020-05-04T15:30:33+02:00";48.1875
"Probe-1";"2020-05-04T15:30:33+02:00";48.45625
"Probe-1";"2020-05-04T15:30:33+02:00";48.725
"Probe-1";"2020-05-04T15:30:33+02:00";48.99375
"Probe-1";"2020-05-04T15:30:33+02:00";49.2625
"Probe-1";"2020-05-04T15:30:34+02:00";49.53125
"Probe-1";"2020-05-04T15:30:34+02:00";49.8
"Probe-1";"2020-05-04T15:30:34+02:00";50.06875
"Probe-1";"2020-05-04T15:30:34+02:00";50.3375
"Probe-1";"2020-05-04T15:30:34+02:00";50.60625
"Probe-1";"2020-05-04T15:30:35+02:00";50.875
"Probe-1";"2020-05-04T15:30:35+02:00";50.88125
"Probe-1";"2020-05-04T15:30:35+02:00";50.8875
"Probe-1";"2020-05-04T15:30:35+02:00";50.89375
"Probe-1";"2020-05-04T15:30:35+02:00";50.9
"Probe-1";"2020-05-04T15:30:36+02:00";50.90625
"Probe-1";"2020-05-04T15:30:36+02:00";50.9125
"Probe-1";"2020-05-04T15:30:36+02:00";50.91875
"Probe-1";"2020-05-04T15:30:36+02:00";50.925
"Probe-1";"2020-05-04T15:30:36+02:00";50.93125
"Probe-1";"2020-05-04T15:30:37+02:00";50.9375
"Probe-1";"2020-05-04T15:30:37+02:00";50.95
"Probe-1";"2020-05-04T15:30:37+02:00";50.9625
"Probe-1";"2020-05-04T15:30:37+02:00";50.975
"Probe-1";"2020-05-04T15:30:37+02:00";50.9875
"Probe-1";"2020-05-04T15:30:38+02:00";51
"Probe-1";"2020-05-04T15:30:38+02:00";51.0125
"Probe-1";"2020-05-04T15:30:38+02:00";51.025
"Probe-1";"2020-05-04T15:30:38+02:00";51.0375
"Probe-1";"2020-05-04T15:30:38+02:00";51.05
"Probe-1";"2020-05-04T15:30:39+02:00";51.0625
